PRODUCT_ID,PRODUCT_NAME,MANUFACTURER,PRODUCT_TYPE,PRODUCT_SIZE,RETAIL_PRICE
120001,yellow hot rose blue green,Manufacturer#1,STANDARD ANODIZED STEEL,38,1021.00
120002,yellow pale blanched gainsboro moccasin,Manufacturer#4,STANDARD PLATED BRASS,22,1022.00
120003,metallic rosy gainsboro dark spring,Manufacturer#4,PROMO ANODIZED NICKEL,48,1023.00
120004,purple cream puff royal chocolate,Manufacturer#2,SMALL ANODIZED TIN,41,1024.00
120005,turquoise floral papaya steel blanched,Manufacturer#2,SMALL BURNISHED COPPER,35,1025.00
120006,maroon olive sky honeydew sienna,Manufacturer#3,LARGE BRUSHED TIN,45,1026.00
120007,black antique bisque misty orange,Manufacturer#3,PROMO POLISHED TIN,46,1027.00
120008,forest rose orchid mint lime,Manufacturer#1,SMALL PLATED COPPER,5,1028.00
120009,deep coral honeydew cornsilk dodger,Manufacturer#1,STANDARD BURNISHED TIN,22,1029.00
120010,seashell ghost grey red mint,Manufacturer#1,LARGE POLISHED NICKEL,23,1030.01
120011,sandy medium red rose coral,Manufacturer#3,MEDIUM POLISHED BRASS,18,1031.01
120012,violet smoke khaki salmon tan,Manufacturer#1,LARGE ANODIZED BRASS,24,1032.01
120013,orange frosted azure rosy goldenrod,Manufacturer#4,LARGE PLATED NICKEL,16,1033.01
120014,papaya white ghost blue aquamarine,Manufacturer#2,SMALL BURNISHED BRASS,31,1034.01
120015,rosy burnished tomato goldenrod gainsboro,Manufacturer#5,ECONOMY BURNISHED COPPER,9,1035.01
120016,floral pale purple beige chartreuse,Manufacturer#5,LARGE POLISHED STEEL,37,1036.01
120017,moccasin sienna honeydew wheat khaki,Manufacturer#4,MEDIUM ANODIZED COPPER,17,1037.01
120018,tomato spring ghost grey peru,Manufacturer#5,PROMO POLISHED BRASS,26,1038.01
120019,lime antique rose seashell magenta,Manufacturer#1,STANDARD ANODIZED BRASS,45,1039.01
120020,tomato frosted pink purple almond,Manufacturer#3,STANDARD POLISHED COPPER,34,1040.02
120021,salmon cream deep hot white,Manufacturer#4,STANDARD ANODIZED COPPER,14,1041.02
120022,deep lemon light frosted peach,Manufacturer#2,STANDARD BRUSHED TIN,16,1042.02
120023,light burlywood ivory midnight lime,Manufacturer#1,PROMO POLISHED STEEL,45,1043.02
120024,plum seashell dark linen puff,Manufacturer#4,SMALL ANODIZED NICKEL,15,1044.02
120025,linen slate violet burnished dark,Manufacturer#4,STANDARD PLATED TIN,40,1045.02
120026,yellow peach gainsboro coral frosted,Manufacturer#5,ECONOMY BURNISHED TIN,35,1046.02
120027,beige grey honeydew coral burlywood,Manufacturer#3,STANDARD PLATED TIN,35,1047.02
120028,rose floral forest lemon misty,Manufacturer#1,MEDIUM PLATED TIN,39,1048.02
120029,rosy plum linen magenta hot,Manufacturer#2,SMALL BURNISHED STEEL,22,1049.02
120030,seashell red linen yellow royal,Manufacturer#5,LARGE BURNISHED COPPER,2,1050.03
120031,saddle azure steel magenta dark,Manufacturer#2,ECONOMY PLATED BRASS,39,1051.03
120032,burnished blue dim cornflower deep,Manufacturer#1,MEDIUM POLISHED TIN,2,1052.03
120033,puff pale metallic cream red,Manufacturer#1,SMALL POLISHED COPPER,27,1053.03
120034,khaki white green plum red,Manufacturer#3,SMALL POLISHED NICKEL,33,1054.03
120035,rosy thistle light cornsilk maroon,Manufacturer#4,MEDIUM ANODIZED COPPER,15,1055.03
120036,violet thistle olive sandy indian,Manufacturer#2,ECONOMY ANODIZED TIN,5,1056.03
120037,violet royal tan papaya indian,Manufacturer#3,STANDARD BRUSHED STEEL,6,1057.03
120038,puff firebrick spring peru cornflower,Manufacturer#2,LARGE BRUSHED COPPER,17,1058.03
120039,peru metallic almond sienna saddle,Manufacturer#1,ECONOMY ANODIZED STEEL,46,1059.03
120040,peru goldenrod burnished light mint,Manufacturer#2,STANDARD BURNISHED STEEL,14,1060.04
120041,violet olive tan burnished seashell,Manufacturer#3,MEDIUM PLATED TIN,11,1061.04
120042,cornsilk red slate plum misty,Manufacturer#4,PROMO BURNISHED BRASS,4,1062.04
120043,grey bisque pink honeydew papaya,Manufacturer#3,MEDIUM BRUSHED TIN,1,1063.04
120044,thistle magenta burnished blue burlywood,Manufacturer#1,PROMO PLATED BRASS,11,1064.04
120045,bisque ghost spring blanched frosted,Manufacturer#1,PROMO BURNISHED NICKEL,48,1065.04
