PRODUCT_ID,PRODUCT_NAME,MANUFACTURER,PRODUCT_TYPE,PROMOTION_TIER,TOTAL_REVENUE,TOTAL_UNITS,AVG_DISCOUNT_PCT
59446,green wheat orange burlywood yellow,Manufacturer#5,MEDIUM BRUSHED TIN,No Promotion,106813.44,76.00,0.00
184618,moccasin brown bisque ghost chiffon,Manufacturer#2,ECONOMY PLATED COPPER,No Promotion,18728.71,11.00,0.00
104826,lavender yellow azure orchid navy,Manufacturer#2,MEDIUM BURNISHED BRASS,No Promotion,71401.98,39.00,0.00
60889,rose blanched lemon slate misty,Manufacturer#5,ECONOMY PLATED COPPER,No Promotion,159089.68,86.00,0.00
81544,sandy red slate chocolate almond,Manufacturer#1,LARGE POLISHED STEEL,No Promotion,123568.74,81.00,0.00
66210,magenta red rosy plum turquoise,Manufacturer#1,ECONOMY ANODIZED BRASS,No Promotion,11762.10,10.00,0.00
27799,ghost cream smoke burnished tan,Manufacturer#5,ECONOMY POLISHED TIN,No Promotion,12087.53,7.00,0.00
185456,grey dodger honeydew pale peach,Manufacturer#2,SMALL BURNISHED STEEL,Medium Discount,79538.82,55.00,6.00
23823,honeydew peru purple white thistle,Manufacturer#1,ECONOMY BRUSHED STEEL,No Promotion,76860.08,44.00,0.00
71225,beige bisque peru cornflower blush,Manufacturer#1,PROMO BURNISHED STEEL,No Promotion,59811.00,50.00,0.00
121079,royal burlywood drab antique cyan,Manufacturer#5,SMALL POLISHED STEEL,No Promotion,57203.64,52.00,0.00
28594,peach deep navy orange sienna,Manufacturer#2,STANDARD POLISHED NICKEL,No Promotion,41109.93,27.00,0.00
181995,sandy rose tomato slate antique,Manufacturer#4,SMALL POLISHED STEEL,No Promotion,58155.72,28.00,0.00
164501,lavender white violet grey bisque,Manufacturer#1,LARGE ANODIZED STEEL,No Promotion,46965.00,30.00,0.00
144530,tomato coral hot cornflower dim,Manufacturer#3,LARGE ANODIZED BRASS,No Promotion,22043.42,14.00,0.00
109884,thistle lace rose saddle chartreuse,Manufacturer#5,SMALL BURNISHED COPPER,No Promotion,92800.12,49.00,0.00
168364,brown magenta sandy bisque maroon,Manufacturer#2,LARGE PLATED BRASS,No Promotion,67320.92,47.00,0.00
58593,tan smoke pale olive puff,Manufacturer#3,ECONOMY ANODIZED STEEL,No Promotion,62063.60,40.00,0.00
127193,burnished metallic red yellow smoke,Manufacturer#4,ECONOMY POLISHED COPPER,No Promotion,17082.66,14.00,0.00
112998,mint hot blush chartreuse lawn,Manufacturer#4,SMALL BRUSHED NICKEL,No Promotion,70384.65,35.00,0.00
180234,seashell cream grey chiffon black,Manufacturer#2,SMALL BURNISHED NICKEL,No Promotion,43369.59,33.00,0.00
10212,burnished snow pink ghost tan,Manufacturer#3,LARGE POLISHED COPPER,No Promotion,19077.57,17.00,0.00
136619,salmon firebrick orange gainsboro sienna,Manufacturer#4,STANDARD ANODIZED NICKEL,No Promotion,64568.79,39.00,0.00
104454,puff linen drab spring blanched,Manufacturer#5,STANDARD POLISHED COPPER,No Promotion,21876.75,15.00,0.00
4598,dim ivory goldenrod red metallic,Manufacturer#2,LARGE BRUSHED COPPER,No Promotion,27046.62,18.00,0.00
189219,linen grey aquamarine royal blush,Manufacturer#4,LARGE BRUSHED COPPER,No Promotion,45787.35,35.00,0.00
58098,burlywood antique peach dim purple,Manufacturer#2,MEDIUM ANODIZED NICKEL,No Promotion,11616.99,11.00,0.00
14730,lime burlywood wheat peru white,Manufacturer#1,ECONOMY POLISHED COPPER,No Promotion,55920.82,34.00,0.00
88906,lemon almond peach floral blanched,Manufacturer#2,PROMO BRUSHED NICKEL,No Promotion,39792.90,21.00,0.00
152273,medium lemon sky midnight ivory,Manufacturer#3,ECONOMY PLATED TIN,No Promotion,13252.70,10.00,0.00
84635,forest steel dodger orchid peach,Manufacturer#4,LARGE BURNISHED NICKEL,No Promotion,6478.52,4.00,0.00
75402,frosted rosy seashell green medium,Manufacturer#3,SMALL PLATED STEEL,No Promotion,44076.80,32.00,0.00
21389,wheat navajo bisque ghost lime,Manufacturer#4,MEDIUM BURNISHED COPPER,No Promotion,3931.14,3.00,0.00
35267,navy forest chocolate indian ivory,Manufacturer#2,ECONOMY BURNISHED COPPER,No Promotion,32461.02,27.00,0.00
93539,moccasin plum purple olive lace,Manufacturer#1,SMALL BRUSHED COPPER,No Promotion,4597.59,3.00,0.00
57727,smoke floral thistle sienna linen,Manufacturer#2,LARGE POLISHED STEEL,No Promotion,43802.72,26.00,0.00
143199,tan deep gainsboro mint midnight,Manufacturer#1,STANDARD BRUSHED NICKEL,No Promotion,18632.85,15.00,0.00
155628,powder light slate black ghost,Manufacturer#4,MEDIUM BURNISHED STEEL,No Promotion,102700.82,61.00,0.00
140713,grey thistle goldenrod pale azure,Manufacturer#2,ECONOMY ANODIZED BRASS,No Promotion,17537.10,10.00,0.00
33016,smoke moccasin cornflower khaki maroon,Manufacturer#2,MEDIUM BRUSHED NICKEL,No Promotion,29419.31,31.00,0.00
153667,blanched cyan turquoise papaya mint,Manufacturer#1,STANDARD POLISHED STEEL,No Promotion,110122.24,64.00,0.00
554,blue medium royal blush ghost,Manufacturer#5,STANDARD BRUSHED STEEL,No Promotion,40727.40,28.00,0.00
171603,lime forest chocolate royal lace,Manufacturer#1,STANDARD PLATED TIN,No Promotion,82055.40,49.00,0.00
99157,burlywood bisque lace steel maroon,Manufacturer#3,LARGE BRUSHED NICKEL,No Promotion,8093.05,7.00,0.00
47361,tomato magenta navy spring mint,Manufacturer#2,ECONOMY BRUSHED STEEL,No Promotion,15700.32,12.00,0.00
